Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Jarle Aarbakke,"2 488,00","1 756,00","111,00","4 355,00",1,9952
2,Kristin Røymo,"2 488,00","1 054,00","81,00","3 623,00",2,9952
3,Brage Larsen Sollund,"2 488,00","640,00","58,00","3 186,00",3,9952
6,Marta Hofsøy,"2 488,00","621,00","48,00","3 157,00",4,9952
4,Elisabeth Steen,"2 488,00","361,00","9,00","2 858,00",5,9952
5,Jarle Heitmann,"2 488,00","290,00","16,00","2 794,00",6,9952
16,Ragni Løkholm Ramberg,"0,00","422,00","94,00","516,00",7,9952
26,Tonje Randisdatter Tunstad,"0,00","159,00","12,00","171,00",8,9952
8,Kristine Merethe Larsen,"0,00","153,00","13,00","166,00",9,9952
13,Roar Winther,"0,00","137,00","11,00","148,00",10,9952
18,Mari-Ann Benonisen,"0,00","135,00","12,00","147,00",11,9952
14,Tone Marie Myklevoll,"0,00","126,00","13,00","139,00",12,9952
12,Astrid Sylte,"0,00","131,00","4,00","135,00",13,9952
30,Olga Goldfain,"0,00","117,00","14,00","131,00",14,9952
9,Odd Arne Thunberg,"0,00","124,00","4,00","128,00",15,9952
10,Sidsel Borghild Haldorsen,"0,00","106,00","15,00","121,00",16,9952
7,Tor Inge Hoaas,"0,00","117,00","2,00","119,00",17,9952
41,Sara Holthe Jaklin,"0,00","110,00","9,00","119,00",18,9952
17,Marius Johan Jensen,"0,00","106,00","11,00","117,00",19,9952
23,Esben Hoås Rygg,"0,00","83,00","24,00","107,00",20,9952
28,Martine Lødding,"0,00","92,00","1,00","93,00",21,9952
20,Iril Gausdal Johansen,"0,00","76,00","8,00","84,00",22,9952
11,Svein Erik Pettersen,"0,00","80,00","1,00","81,00",23,9952
38,Ina Beate Pentha,"0,00","73,00","5,00","78,00",24,9952
24,Sølvi Irene Ludvigsen,"0,00","70,00","2,00","72,00",25,9952
32,Cicilie Yttergård Jenssen,"0,00","69,00","2,00","71,00",26,9952
40,Anne-Marie Isaksen,"0,00","62,00","7,00","69,00",27,9952
43,Julia Borisovna Seljeseth,"0,00","59,00","9,00","68,00",28,9952
34,Ragnhild Landfald Wilhelmsen,"0,00","60,00","7,00","67,00",29,9952
22,Gunn Bårdsen,"0,00","64,00","1,00","65,00",30,9952
45,Kåre Arne Sørensen,"0,00","46,00","14,00","60,00",31,9952
33,Reidar Østgård,"0,00","55,00","4,00","59,00",32,9952
44,Karoline Olsen Stensland,"0,00","52,00","6,00","58,00",33,9952
19,Børge Viggo Kjersem,"0,00","57,00","0,00","57,00",34,9952
31,Kjell Oddvar Johnsen,"0,00","49,00","5,00","54,00",35,9952
27,Terje-André Steen,"0,00","51,00","2,00","53,00",36,9952
29,Øyvind Kristian Rognseth,"0,00","51,00","0,00","51,00",37,9952
15,Ole-Marius Johnsen,"0,00","46,00","2,00","48,00",38,9952
42,Jarl Ove Kaasen,"0,00","41,00","7,00","48,00",39,9952
47,Trond Oscar Losvik,"0,00","36,00","9,00","45,00",40,9952
48,Therese Henriksen,"0,00","37,00","8,00","45,00",41,9952
35,Ramin Faryad Aminzadeh,"0,00","39,00","2,00","41,00",42,9952
36,Christine Veronica Leonhardsen,"0,00","37,00","1,00","38,00",43,9952
37,Yngve Lundblad,"0,00","35,00","2,00","37,00",44,9952
21,Ronny Steinulf Johansen,"0,00","36,00","0,00","36,00",45,9952
49,Torleif Andreassen,"0,00","31,00","0,00","31,00",46,9952
25,Halfdan Eilif Melkild,"0,00","30,00","0,00","30,00",47,9952
46,Maja Lisa Kappfjell,"0,00","29,00","0,00","29,00",48,9952
39,Asbjørn Ole Kristian Pettersen,"0,00","20,00","2,00","22,00",49,9952
