Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Ann-Sissel Enoksen,"121,75","153,00","40,00","314,75",1,487
2,Nils Johan Aarsæther,"0,00","45,00","24,00","69,00",2,487
4,Cecilia Maria Rockwell,"0,00","51,00","12,00","63,00",3,487
5,Kurt Ludvigsen,"0,00","29,00","6,00","35,00",4,487
3,Torleif Nordbakk,"0,00","20,00","7,00","27,00",5,487
15,Stein Halvar Enoksen,"0,00","25,00","2,00","27,00",6,487
8,Marit Vollstad,"0,00","21,00","2,00","23,00",7,487
7,Torstein Ingar Myhre,"0,00","17,00","4,00","21,00",8,487
10,Johanne Lavold Eliassen,"0,00","13,00","2,00","15,00",9,487
9,Kåre Astor Ludvigsen,"0,00","14,00","0,00","14,00",10,487
6,May Helén Sagnes,"0,00","12,00","0,00","12,00",11,487
13,Øystein Magnus Moe,"0,00","10,00","2,00","12,00",12,487
16,Øyvind Hansen,"0,00","12,00","0,00","12,00",13,487
11,Peter Krogseng Magnussen,"0,00","11,00","0,00","11,00",14,487
12,Kjell Arne Kristiansen,"0,00","10,00","0,00","10,00",15,487
14,Anne-Marie Gundersen,"0,00","6,00","0,00","6,00",16,487
