Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Ann-Sissel Enoksen,121.75,153.0,40.0,314.75,1.0,487.0
2,Nils Johan Aarsæther,0.0,45.0,24.0,69.0,2.0,487.0
4,Cecilia Maria Rockwell,0.0,51.0,12.0,63.0,3.0,487.0
5,Kurt Ludvigsen,0.0,29.0,6.0,35.0,4.0,487.0
3,Torleif Nordbakk,0.0,20.0,7.0,27.0,5.0,487.0
15,Stein Halvar Enoksen,0.0,25.0,2.0,27.0,6.0,487.0
8,Marit Vollstad,0.0,21.0,2.0,23.0,7.0,487.0
7,Torstein Ingar Myhre,0.0,17.0,4.0,21.0,8.0,487.0
10,Johanne Lavold Eliassen,0.0,13.0,2.0,15.0,9.0,487.0
9,Kåre Astor Ludvigsen,0.0,14.0,0.0,14.0,10.0,487.0
6,May Helén Sagnes,0.0,12.0,0.0,12.0,11.0,487.0
13,Øystein Magnus Moe,0.0,10.0,2.0,12.0,12.0,487.0
16,Øyvind Hansen,0.0,12.0,0.0,12.0,13.0,487.0
11,Peter Krogseng Magnussen,0.0,11.0,0.0,11.0,14.0,487.0
12,Kjell Arne Kristiansen,0.0,10.0,0.0,10.0,15.0,487.0
14,Anne-Marie Gundersen,0.0,6.0,0.0,6.0,16.0,487.0
