Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Kristian Andresen,49.75,70.0,17.0,136.75,1.0,199.0
2,Geir Finne,49.75,25.0,11.0,85.75,2.0,199.0
3,Ahmed Aadan Warsame,49.75,12.0,3.0,64.75,3.0,199.0
4,Terje Rasmussen,49.75,13.0,0.0,62.75,4.0,199.0
5,Kathy Fjellstad,0.0,9.0,0.0,9.0,5.0,199.0
7,Steffen Rasmussen,0.0,8.0,0.0,8.0,6.0,199.0
8,Martin Bergh Høier,0.0,7.0,0.0,7.0,7.0,199.0
6,Geir Osvald Solli,0.0,6.0,0.0,6.0,8.0,199.0
9,Svein-Erik Andreassen,0.0,5.0,1.0,6.0,9.0,199.0
10,Rune Hårek Alvestad,0.0,3.0,0.0,3.0,10.0,199.0
