Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Barbara Karin Vögele,368.75,278.0,94.0,740.75,1.0,1475.0
2,Terje Ingemar Traavik,368.75,126.0,41.0,535.75,2.0,1475.0
4,Brynmor Evans,0.0,88.0,46.0,134.0,3.0,1475.0
3,Lise Mari Lorentzen,0.0,84.0,21.0,105.0,4.0,1475.0
16,Svein Anders Noer Lie,0.0,43.0,9.0,52.0,5.0,1475.0
6,Georg Hansen,0.0,38.0,10.0,48.0,6.0,1475.0
5,Astrid Eriksen,0.0,35.0,8.0,43.0,7.0,1475.0
18,Guri Grimnes,0.0,26.0,10.0,36.0,8.0,1475.0
10,Askild Gjerstad,0.0,29.0,6.0,35.0,9.0,1475.0
7,Sigrid Gjessing Lind,0.0,29.0,3.0,32.0,10.0,1475.0
13,Therese Simonsen Rye,0.0,27.0,4.0,31.0,11.0,1475.0
8,Brynjar Sollid,0.0,22.0,7.0,29.0,12.0,1475.0
19,Markus Yttergård Jenssen,0.0,26.0,2.0,28.0,13.0,1475.0
11,Line-Irene Berg,0.0,21.0,2.0,23.0,14.0,1475.0
12,Eigil Granhøy-Markussen,0.0,19.0,3.0,22.0,15.0,1475.0
23,Tim Dassler,0.0,19.0,3.0,22.0,16.0,1475.0
15,Jartrud Sofie Frafjord,0.0,19.0,2.0,21.0,17.0,1475.0
9,Gudrun Hansen,0.0,15.0,5.0,20.0,18.0,1475.0
17,Kristin Elisabeth Myrvang Gjørv,0.0,15.0,5.0,20.0,19.0,1475.0
30,Taija-Riitta Blencke,0.0,18.0,2.0,20.0,20.0,1475.0
25,Claude Rouget,0.0,13.0,4.0,17.0,21.0,1475.0
14,Johannes Willem Kögeler,0.0,11.0,5.0,16.0,22.0,1475.0
20,Saskia Mennen,0.0,13.0,3.0,16.0,23.0,1475.0
22,Anniken Hoel,0.0,16.0,0.0,16.0,24.0,1475.0
21,Eskil Selvåg,0.0,11.0,2.0,13.0,25.0,1475.0
28,Siv-Lise Selma Gansmoe,0.0,11.0,1.0,12.0,26.0,1475.0
24,Camilla Sundnes,0.0,11.0,0.0,11.0,27.0,1475.0
26,Tone Tingvoll,0.0,11.0,0.0,11.0,28.0,1475.0
27,Tor-Einar Fredriksen,0.0,10.0,0.0,10.0,29.0,1475.0
31,Finn Johannessen,0.0,10.0,0.0,10.0,30.0,1475.0
29,Andreas Buch,0.0,7.0,0.0,7.0,31.0,1475.0
