Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Jens-Ingvald Olsen,1197.0,1768.0,631.0,3596.0,1.0,4788.0
2,Elin Jørgensen,1197.0,264.0,26.0,1487.0,2.0,4788.0
3,Bendik Hugstmyr Woie,1197.0,181.0,41.0,1419.0,3.0,4788.0
4,Maria Nilsen Aksberg,1197.0,181.0,6.0,1384.0,4.0,4788.0
5,Bjørn Egil Johansen,1197.0,142.0,16.0,1355.0,5.0,4788.0
6,Anne-Linn Lernes Høiseth,1197.0,156.0,2.0,1355.0,6.0,4788.0
46,Mads Gilbert,0.0,248.0,34.0,282.0,7.0,4788.0
8,Hanne Stenvaag,0.0,143.0,27.0,170.0,8.0,4788.0
21,Ylva Helene Schwenke,0.0,140.0,13.0,153.0,9.0,4788.0
14,Elisabet Sausjord,0.0,109.0,7.0,116.0,10.0,4788.0
7,Frida Langseth,0.0,93.0,5.0,98.0,11.0,4788.0
9,Sigurd Langseth,0.0,67.0,8.0,75.0,12.0,4788.0
22,Eli Berg,0.0,67.0,5.0,72.0,13.0,4788.0
32,Ragnar Olsen,0.0,66.0,3.0,69.0,14.0,4788.0
13,Jon Arne Jørstad,0.0,53.0,4.0,57.0,15.0,4788.0
24,Torill Nustad,0.0,54.0,2.0,56.0,16.0,4788.0
10,Maria Evon Sriharan,0.0,53.0,2.0,55.0,17.0,4788.0
17,Marius Bjørnson Graff,0.0,48.0,7.0,55.0,18.0,4788.0
29,Anniken Dulin,0.0,48.0,2.0,50.0,19.0,4788.0
12,Siri Andersen,0.0,48.0,0.0,48.0,20.0,4788.0
42,Ragna Schwenke,0.0,41.0,7.0,48.0,21.0,4788.0
18,Peder Joakimsen,0.0,42.0,4.0,46.0,22.0,4788.0
25,Kristoffer Jørgensen,0.0,40.0,2.0,42.0,23.0,4788.0
11,Bengt Appelbom,0.0,34.0,4.0,38.0,24.0,4788.0
19,Erik Skare,0.0,35.0,3.0,38.0,25.0,4788.0
26,Hawre Mohammed Ali,0.0,36.0,1.0,37.0,26.0,4788.0
23,Erling Briskemyr,0.0,32.0,2.0,34.0,27.0,4788.0
15,Trond Petter Hauan,0.0,25.0,7.0,32.0,28.0,4788.0
35,Torunn Ovanger,0.0,28.0,4.0,32.0,29.0,4788.0
20,Sylvin Thomassen,0.0,30.0,0.0,30.0,30.0,4788.0
36,Eirik Mathiesen,0.0,24.0,2.0,26.0,31.0,4788.0
27,Eva Rinnan Gran,0.0,24.0,0.0,24.0,32.0,4788.0
30,Kari Torgersen,0.0,23.0,1.0,24.0,33.0,4788.0
45,Einar Bohne,0.0,19.0,2.0,21.0,34.0,4788.0
33,Vilde Holm,0.0,18.0,2.0,20.0,35.0,4788.0
37,Kirsti Henriksen,0.0,19.0,1.0,20.0,36.0,4788.0
44,Torgeir Engstad,0.0,18.0,1.0,19.0,37.0,4788.0
34,Amadou Bamba,0.0,17.0,1.0,18.0,38.0,4788.0
16,Roger Wangsbro,0.0,16.0,1.0,17.0,39.0,4788.0
41,Halvor Langseth,0.0,17.0,0.0,17.0,40.0,4788.0
40,Gro Morken Nilssen,0.0,16.0,0.0,16.0,41.0,4788.0
43,Rønnaug Finnset,0.0,15.0,0.0,15.0,42.0,4788.0
28,Jon Børge Hansen,0.0,14.0,0.0,14.0,43.0,4788.0
31,Nora Lund,0.0,11.0,1.0,12.0,44.0,4788.0
38,Sidsel Aarseth,0.0,12.0,0.0,12.0,45.0,4788.0
39,Martin Brynjulfsen,0.0,9.0,1.0,10.0,46.0,4788.0
