Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Ingrid Marie Kielland,662.25,656.0,267.0,1585.25,1.0,2649.0
2,Gunhild Glosemeyer Johansen,662.25,173.0,61.0,896.25,2.0,2649.0
3,Pål Julius Austrem Skogholt,662.25,182.0,49.0,893.25,3.0,2649.0
4,Benjamin Arvola Notkevich,662.25,133.0,37.0,832.25,4.0,2649.0
8,Terje Håkstad,0.0,124.0,38.0,162.0,5.0,2649.0
5,Åsne Øysteinsdotter Høgetveit,0.0,110.0,23.0,133.0,6.0,2649.0
49,Torgeir Knag Fylkesnes,0.0,62.0,10.0,72.0,7.0,2649.0
13,Cornelia Andreassen,0.0,56.0,6.0,62.0,8.0,2649.0
7,Reidun Heggen,0.0,53.0,8.0,61.0,9.0,2649.0
17,Ida Marie Løken Killie,0.0,49.0,6.0,55.0,10.0,2649.0
9,Tonje Bjørndal Braaten,0.0,45.0,4.0,49.0,11.0,2649.0
15,Ina Kongsnes,0.0,45.0,4.0,49.0,12.0,2649.0
19,Bi Haavind,0.0,37.0,8.0,45.0,13.0,2649.0
6,Bjarne Rohde,0.0,36.0,8.0,44.0,14.0,2649.0
33,Ingrid Hovda Lien,0.0,38.0,5.0,43.0,15.0,2649.0
31,Gerd Karin Bjørhovde,0.0,36.0,5.0,41.0,16.0,2649.0
10,Uthayarajan Odén Singarajah,0.0,32.0,7.0,39.0,17.0,2649.0
21,Julie Wilhelmsen,0.0,34.0,3.0,37.0,18.0,2649.0
16,Anders Torgeir Lind,0.0,24.0,10.0,34.0,19.0,2649.0
27,Trine Danielsen Kielland,0.0,30.0,2.0,32.0,20.0,2649.0
39,Åshild Fause,0.0,29.0,2.0,31.0,21.0,2649.0
12,Leif-Petter Hansen,0.0,24.0,5.0,29.0,22.0,2649.0
28,Torstein Låg,0.0,24.0,5.0,29.0,23.0,2649.0
24,Hallvard Tjelmeland,0.0,25.0,3.0,28.0,24.0,2649.0
43,Maja-Lisa Løchen,0.0,24.0,4.0,28.0,25.0,2649.0
11,Ellen Herland,0.0,25.0,1.0,26.0,26.0,2649.0
29,Kristel Høie Nilsen,0.0,23.0,2.0,25.0,27.0,2649.0
23,Elsa Hilda Sundsvold,0.0,22.0,2.0,24.0,28.0,2649.0
25,Sølvi Edith Hagland Bangsund,0.0,22.0,2.0,24.0,29.0,2649.0
46,Frode Haugstvedt Henriksen,0.0,16.0,8.0,24.0,30.0,2649.0
14,Matias Hogne Kjerstad,0.0,16.0,6.0,22.0,31.0,2649.0
32,Tony Paameyer Winkler,0.0,17.0,4.0,21.0,32.0,2649.0
40,Marek Cuhra,0.0,20.0,1.0,21.0,33.0,2649.0
18,Martin Sollund Krane,0.0,19.0,1.0,20.0,34.0,2649.0
41,Randi Rønning Balsvik,0.0,17.0,3.0,20.0,35.0,2649.0
22,Stein Valkoinen,0.0,13.0,3.0,16.0,36.0,2649.0
38,Tor Halvard Stranda,0.0,16.0,0.0,16.0,37.0,2649.0
45,Annikken Annexstad,0.0,12.0,4.0,16.0,38.0,2649.0
48,May-Britt Ellingsen,0.0,14.0,2.0,16.0,39.0,2649.0
35,Tone Bjørnsen,0.0,12.0,0.0,12.0,40.0,2649.0
37,Rita-Kristin Hansen,0.0,11.0,1.0,12.0,41.0,2649.0
34,Gry Gaard,0.0,11.0,0.0,11.0,42.0,2649.0
20,Jørund Magnus Jørgensen,0.0,10.0,0.0,10.0,43.0,2649.0
36,Paul Oddgeir Jensen,0.0,5.0,3.0,8.0,44.0,2649.0
26,Gerardus Theodorus Maria Meijers,0.0,7.0,0.0,7.0,45.0,2649.0
30,Odd Ingvar Almås,0.0,3.0,2.0,5.0,46.0,2649.0
42,Johan Robertsen,0.0,4.0,1.0,5.0,47.0,2649.0
44,Stein Inge Sivertsen,0.0,4.0,1.0,5.0,48.0,2649.0
47,Petter Olai Stark,0.0,4.0,1.0,5.0,49.0,2649.0
