Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Jonas Stein,411.0,387.0,125.0,923.0,1.0,1644.0
4,Morten Skandfer,411.0,172.0,42.0,625.0,2.0,1644.0
2,Irene Vanja Dahl,411.0,160.0,22.0,593.0,3.0,1644.0
3,Kine Bergheim,411.0,128.0,23.0,562.0,4.0,1644.0
11,Arne Wilhelm Theodorsen,0.0,63.0,32.0,95.0,5.0,1644.0
6,Marie Fangel,0.0,73.0,21.0,94.0,6.0,1644.0
8,Nils Arne Johnsen,0.0,49.0,9.0,58.0,7.0,1644.0
10,Anne-Grete Annsdatter Skavhaug,0.0,33.0,13.0,46.0,8.0,1644.0
12,Åsmund Grammeltvedt,0.0,34.0,9.0,43.0,9.0,1644.0
7,Seynab Mikalsen,0.0,38.0,2.0,40.0,10.0,1644.0
9,Håvard Sørlie,0.0,31.0,9.0,40.0,11.0,1644.0
16,Bjørn Kaldhol,0.0,36.0,2.0,38.0,12.0,1644.0
27,Thomas Engelskjøn,0.0,21.0,11.0,32.0,13.0,1644.0
49,Johan Petter Barlindhaug,0.0,29.0,3.0,32.0,14.0,1644.0
5,Erik Magnus Iversen,0.0,29.0,1.0,30.0,15.0,1644.0
28,Martine Guttormsen,0.0,26.0,1.0,27.0,16.0,1644.0
20,Øyvind Ravna,0.0,21.0,3.0,24.0,17.0,1644.0
14,Øystein Nilsen,0.0,19.0,3.0,22.0,18.0,1644.0
17,Adeline Broust Tiede,0.0,21.0,1.0,22.0,19.0,1644.0
15,Linda Maria Stein,0.0,19.0,1.0,20.0,20.0,1644.0
26,Bodil Carlson,0.0,20.0,0.0,20.0,21.0,1644.0
13,Mbachi Ruth Msomphora,0.0,18.0,1.0,19.0,22.0,1644.0
32,Elin Helbekkmo Sandvik,0.0,18.0,1.0,19.0,23.0,1644.0
23,Eigil Thorsen,0.0,16.0,2.0,18.0,24.0,1644.0
46,Maria Kristine Granhøy-Markussen,0.0,13.0,5.0,18.0,25.0,1644.0
18,Else Marie Øvrebø,0.0,15.0,2.0,17.0,26.0,1644.0
24,Jørn Weines,0.0,11.0,6.0,17.0,27.0,1644.0
45,Bitten Barman-Jenssen,0.0,13.0,3.0,16.0,28.0,1644.0
47,Aud Jektvik,0.0,13.0,3.0,16.0,29.0,1644.0
37,Eirin Bjørnstad,0.0,12.0,3.0,15.0,30.0,1644.0
19,Jørn Dagfinn Bjørnhaug,0.0,14.0,0.0,14.0,31.0,1644.0
31,Jonas Hansen,0.0,14.0,0.0,14.0,32.0,1644.0
33,Astrid Charlotte Engli Høgestøl,0.0,13.0,1.0,14.0,33.0,1644.0
44,Kenneth Ruud,0.0,12.0,2.0,14.0,34.0,1644.0
22,Ingunn Mosand-Gjerde,0.0,12.0,1.0,13.0,35.0,1644.0
39,Ketil Sundelin,0.0,12.0,1.0,13.0,36.0,1644.0
25,Thorbjørg Hroarsdottir,0.0,9.0,2.0,11.0,37.0,1644.0
48,Markus Martin Sørensen,0.0,9.0,2.0,11.0,38.0,1644.0
41,Arne Erling Karlsen,0.0,10.0,0.0,10.0,39.0,1644.0
29,Bernhard Siebert,0.0,9.0,0.0,9.0,40.0,1644.0
42,Bjørn Einan,0.0,6.0,3.0,9.0,41.0,1644.0
34,Sindre Palmberg,0.0,8.0,0.0,8.0,42.0,1644.0
35,John-Egil Svinsås Johansen Magga,0.0,8.0,0.0,8.0,43.0,1644.0
30,Jan Tore Olsborg,0.0,5.0,2.0,7.0,44.0,1644.0
38,Roger Lockertsen,0.0,6.0,1.0,7.0,45.0,1644.0
40,Alf-Inge Elvegård Selstad,0.0,7.0,0.0,7.0,46.0,1644.0
21,Paul Norvall Pedersen,0.0,5.0,1.0,6.0,47.0,1644.0
43,Hege Berit Sirkka,0.0,6.0,0.0,6.0,48.0,1644.0
36,Berit Martha Kirkpatrick,0.0,5.0,0.0,5.0,49.0,1644.0
