Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Jarle Aarbakke,2488.0,1756.0,111.0,4355.0,1.0,9952.0
2,Kristin Røymo,2488.0,1054.0,81.0,3623.0,2.0,9952.0
3,Brage Larsen Sollund,2488.0,640.0,58.0,3186.0,3.0,9952.0
6,Marta Hofsøy,2488.0,621.0,48.0,3157.0,4.0,9952.0
4,Elisabeth Steen,2488.0,361.0,9.0,2858.0,5.0,9952.0
5,Jarle Heitmann,2488.0,290.0,16.0,2794.0,6.0,9952.0
16,Ragni Løkholm Ramberg,0.0,422.0,94.0,516.0,7.0,9952.0
26,Tonje Randisdatter Tunstad,0.0,159.0,12.0,171.0,8.0,9952.0
8,Kristine Merethe Larsen,0.0,153.0,13.0,166.0,9.0,9952.0
13,Roar Winther,0.0,137.0,11.0,148.0,10.0,9952.0
18,Mari-Ann Benonisen,0.0,135.0,12.0,147.0,11.0,9952.0
14,Tone Marie Myklevoll,0.0,126.0,13.0,139.0,12.0,9952.0
12,Astrid Sylte,0.0,131.0,4.0,135.0,13.0,9952.0
30,Olga Goldfain,0.0,117.0,14.0,131.0,14.0,9952.0
9,Odd Arne Thunberg,0.0,124.0,4.0,128.0,15.0,9952.0
10,Sidsel Borghild Haldorsen,0.0,106.0,15.0,121.0,16.0,9952.0
7,Tor Inge Hoaas,0.0,117.0,2.0,119.0,17.0,9952.0
41,Sara Holthe Jaklin,0.0,110.0,9.0,119.0,18.0,9952.0
17,Marius Johan Jensen,0.0,106.0,11.0,117.0,19.0,9952.0
23,Esben Hoås Rygg,0.0,83.0,24.0,107.0,20.0,9952.0
28,Martine Lødding,0.0,92.0,1.0,93.0,21.0,9952.0
20,Iril Gausdal Johansen,0.0,76.0,8.0,84.0,22.0,9952.0
11,Svein Erik Pettersen,0.0,80.0,1.0,81.0,23.0,9952.0
38,Ina Beate Pentha,0.0,73.0,5.0,78.0,24.0,9952.0
24,Sølvi Irene Ludvigsen,0.0,70.0,2.0,72.0,25.0,9952.0
32,Cicilie Yttergård Jenssen,0.0,69.0,2.0,71.0,26.0,9952.0
40,Anne-Marie Isaksen,0.0,62.0,7.0,69.0,27.0,9952.0
43,Julia Borisovna Seljeseth,0.0,59.0,9.0,68.0,28.0,9952.0
34,Ragnhild Landfald Wilhelmsen,0.0,60.0,7.0,67.0,29.0,9952.0
22,Gunn Bårdsen,0.0,64.0,1.0,65.0,30.0,9952.0
45,Kåre Arne Sørensen,0.0,46.0,14.0,60.0,31.0,9952.0
33,Reidar Østgård,0.0,55.0,4.0,59.0,32.0,9952.0
44,Karoline Olsen Stensland,0.0,52.0,6.0,58.0,33.0,9952.0
19,Børge Viggo Kjersem,0.0,57.0,0.0,57.0,34.0,9952.0
31,Kjell Oddvar Johnsen,0.0,49.0,5.0,54.0,35.0,9952.0
27,Terje-André Steen,0.0,51.0,2.0,53.0,36.0,9952.0
29,Øyvind Kristian Rognseth,0.0,51.0,0.0,51.0,37.0,9952.0
15,Ole-Marius Johnsen,0.0,46.0,2.0,48.0,38.0,9952.0
42,Jarl Ove Kaasen,0.0,41.0,7.0,48.0,39.0,9952.0
47,Trond Oscar Losvik,0.0,36.0,9.0,45.0,40.0,9952.0
48,Therese Henriksen,0.0,37.0,8.0,45.0,41.0,9952.0
35,Ramin Faryad Aminzadeh,0.0,39.0,2.0,41.0,42.0,9952.0
36,Christine Veronica Leonhardsen,0.0,37.0,1.0,38.0,43.0,9952.0
37,Yngve Lundblad,0.0,35.0,2.0,37.0,44.0,9952.0
21,Ronny Steinulf Johansen,0.0,36.0,0.0,36.0,45.0,9952.0
49,Torleif Andreassen,0.0,31.0,0.0,31.0,46.0,9952.0
25,Halfdan Eilif Melkild,0.0,30.0,0.0,30.0,47.0,9952.0
46,Maja Lisa Kappfjell,0.0,29.0,0.0,29.0,48.0,9952.0
39,Asbjørn Ole Kristian Pettersen,0.0,20.0,2.0,22.0,49.0,9952.0
