Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
2,Øyvind Hilmarsen,1694.75,1148.0,51.0,2893.75,1.0,6779.0
1,Kristian Støback Wilhelmsen,1694.75,1105.0,55.0,2854.75,2.0,6779.0
3,Anna Amdal Fyhn,1694.75,470.0,37.0,2201.75,3.0,6779.0
5,Rolleiv Olav Lind,1694.75,235.0,17.0,1946.75,4.0,6779.0
6,Ingrid Skjelmo,1694.75,182.0,13.0,1889.75,5.0,6779.0
4,Erlend Svardal Bøe,1694.75,134.0,3.0,1831.75,6.0,6779.0
17,Gunnar Pedersen,0.0,137.0,51.0,188.0,7.0,6779.0
10,Vanja Terentieff,0.0,165.0,19.0,184.0,8.0,6779.0
7,Tormod Ingebrigtsen,0.0,131.0,11.0,142.0,9.0,6779.0
30,Sebastian Hansen Henriksen,0.0,93.0,47.0,140.0,10.0,6779.0
9,Frid Einarsdotter Fossbakk,0.0,112.0,16.0,128.0,11.0,6779.0
18,Elena Rushfeldt,0.0,111.0,15.0,126.0,12.0,6779.0
26,Bodil Inger Ridderseth Larsen,0.0,112.0,12.0,124.0,13.0,6779.0
11,Tor Arne Johansen Morskogen,0.0,100.0,14.0,114.0,14.0,6779.0
16,Ragnhild Berg Nilsen,0.0,98.0,12.0,110.0,15.0,6779.0
33,Miika Johannes Koppinen,0.0,102.0,4.0,106.0,16.0,6779.0
22,Lars Boye Echroll,0.0,86.0,9.0,95.0,17.0,6779.0
8,Arnold Leif Hauan,0.0,75.0,10.0,85.0,18.0,6779.0
13,Erik Benjaminsen,0.0,59.0,18.0,77.0,19.0,6779.0
14,Monica Kvaal,0.0,69.0,8.0,77.0,20.0,6779.0
20,Ruth Astrid Norstrøm,0.0,75.0,2.0,77.0,21.0,6779.0
25,Markus Halftan Akselbo Johansen,0.0,52.0,9.0,61.0,22.0,6779.0
48,Peter Reinholdtsen,0.0,52.0,6.0,58.0,23.0,6779.0
49,Alvhild Marie Yttergård,0.0,48.0,5.0,53.0,24.0,6779.0
27,Odd Fredrik Rybka,0.0,41.0,8.0,49.0,25.0,6779.0
28,Guro Tjosaas Mortensen,0.0,45.0,3.0,48.0,26.0,6779.0
45,Oliver Mizero,0.0,39.0,7.0,46.0,27.0,6779.0
19,Ronny André Jørgensen,0.0,36.0,7.0,43.0,28.0,6779.0
24,Merete Postmyr,0.0,39.0,0.0,39.0,29.0,6779.0
12,Kristian Johansen,0.0,33.0,3.0,36.0,30.0,6779.0
21,Ingfrid Osen Fossbakk,0.0,33.0,3.0,36.0,31.0,6779.0
42,Knut Helsingeng,0.0,33.0,2.0,35.0,32.0,6779.0
35,Ingvard Lorentzen,0.0,33.0,1.0,34.0,33.0,6779.0
32,Marit Lilland,0.0,29.0,3.0,32.0,34.0,6779.0
34,Trond Figenschou,0.0,28.0,1.0,29.0,35.0,6779.0
41,May Rita Wangsbro,0.0,29.0,0.0,29.0,36.0,6779.0
47,Kristian Wangsfjord,0.0,28.0,1.0,29.0,37.0,6779.0
15,Henrik Henriksen Gaup,0.0,25.0,3.0,28.0,38.0,6779.0
43,Katrin Reil Conradi,0.0,26.0,1.0,27.0,39.0,6779.0
37,Joakim Breivik,0.0,23.0,2.0,25.0,40.0,6779.0
23,Eva Kristin Kristiansen,0.0,19.0,5.0,24.0,41.0,6779.0
38,Heidi Beate Vang,0.0,21.0,1.0,22.0,42.0,6779.0
44,Knut Henry Skjærgård,0.0,18.0,4.0,22.0,43.0,6779.0
36,Agnes Gullingsrud Fjeldstad,0.0,14.0,1.0,15.0,44.0,6779.0
39,Mona Hamnes,0.0,13.0,2.0,15.0,45.0,6779.0
40,Tor Jørgen Øwre Hansen,0.0,14.0,0.0,14.0,46.0,6779.0
31,May Britt Stensjø Miri,0.0,13.0,0.0,13.0,47.0,6779.0
46,Harald Willumsen Østbø,0.0,11.0,2.0,13.0,48.0,6779.0
29,Aasa Kristin Lysberg,0.0,10.0,1.0,11.0,49.0,6779.0
