Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Kristian Andresen,"49,75","70,00","17,00","136,75",1,199
2,Geir Finne,"49,75","25,00","11,00","85,75",2,199
3,Ahmed Aadan Warsame,"49,75","12,00","3,00","64,75",3,199
4,Terje Rasmussen,"49,75","13,00","0,00","62,75",4,199
5,Kathy Fjellstad,"0,00","9,00","0,00","9,00",5,199
7,Steffen Rasmussen,"0,00","8,00","0,00","8,00",6,199
8,Martin Bergh Høier,"0,00","7,00","0,00","7,00",7,199
6,Geir Osvald Solli,"0,00","6,00","0,00","6,00",8,199
9,Svein-Erik Andreassen,"0,00","5,00","1,00","6,00",9,199
10,Rune Hårek Alvestad,"0,00","3,00","0,00","3,00",10,199
