Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Helga Marie Bjerke,"261,00","203,00","55,00","519,00",1,1044
2,Millicent Adubofour,"261,00","72,00","44,00","377,00",2,1044
7,Eirik Mikkelsen,"0,00","88,00","11,00","99,00",3,1044
19,Signe Nome Thorvaldsen,"0,00","70,00","1,00","71,00",4,1044
3,Tore-Andre Gurandsrud,"0,00","59,00","9,00","68,00",5,1044
6,Heidi Aarmo Lund,"0,00","61,00","7,00","68,00",6,1044
9,Inge Hyld,"0,00","60,00","2,00","62,00",7,1044
12,Ruth Leonore Stenersen,"0,00","61,00","1,00","62,00",8,1044
5,Jim-Roar Olsen,"0,00","46,00","3,00","49,00",9,1044
8,Katrin Valen,"0,00","36,00","4,00","40,00",10,1044
17,Jostein Østvoll,"0,00","32,00","2,00","34,00",11,1044
13,Anita Johanne Pettersen,"0,00","29,00","1,00","30,00",12,1044
16,Mariam Rapp,"0,00","25,00","4,00","29,00",13,1044
10,Ragnhild Nestun,"0,00","27,00","1,00","28,00",14,1044
4,Sunniva Berglund Skogan,"0,00","25,00","2,00","27,00",15,1044
18,Jan Egil Mikalsen,"0,00","25,00","2,00","27,00",16,1044
14,Bård Nygård,"0,00","22,00","2,00","24,00",17,1044
11,Arvid Aanstad,"0,00","19,00","1,00","20,00",18,1044
15,Bjarte Aarmo Lund,"0,00","16,00","3,00","19,00",19,1044
