Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Barbara Karin Vögele,"368,75","278,00","94,00","740,75",1,1475
2,Terje Ingemar Traavik,"368,75","126,00","41,00","535,75",2,1475
4,Brynmor Evans,"0,00","88,00","46,00","134,00",3,1475
3,Lise Mari Lorentzen,"0,00","84,00","21,00","105,00",4,1475
16,Svein Anders Noer Lie,"0,00","43,00","9,00","52,00",5,1475
6,Georg Hansen,"0,00","38,00","10,00","48,00",6,1475
5,Astrid Eriksen,"0,00","35,00","8,00","43,00",7,1475
18,Guri Grimnes,"0,00","26,00","10,00","36,00",8,1475
10,Askild Gjerstad,"0,00","29,00","6,00","35,00",9,1475
7,Sigrid Gjessing Lind,"0,00","29,00","3,00","32,00",10,1475
13,Therese Simonsen Rye,"0,00","27,00","4,00","31,00",11,1475
8,Brynjar Sollid,"0,00","22,00","7,00","29,00",12,1475
19,Markus Yttergård Jenssen,"0,00","26,00","2,00","28,00",13,1475
11,Line-Irene Berg,"0,00","21,00","2,00","23,00",14,1475
12,Eigil Granhøy-Markussen,"0,00","19,00","3,00","22,00",15,1475
23,Tim Dassler,"0,00","19,00","3,00","22,00",16,1475
15,Jartrud Sofie Frafjord,"0,00","19,00","2,00","21,00",17,1475
9,Gudrun Hansen,"0,00","15,00","5,00","20,00",18,1475
17,Kristin Elisabeth Myrvang Gjørv,"0,00","15,00","5,00","20,00",19,1475
30,Taija-Riitta Blencke,"0,00","18,00","2,00","20,00",20,1475
25,Claude Rouget,"0,00","13,00","4,00","17,00",21,1475
14,Johannes Willem Kögeler,"0,00","11,00","5,00","16,00",22,1475
20,Saskia Mennen,"0,00","13,00","3,00","16,00",23,1475
22,Anniken Hoel,"0,00","16,00","0,00","16,00",24,1475
21,Eskil Selvåg,"0,00","11,00","2,00","13,00",25,1475
28,Siv-Lise Selma Gansmoe,"0,00","11,00","1,00","12,00",26,1475
24,Camilla Sundnes,"0,00","11,00","0,00","11,00",27,1475
26,Tone Tingvoll,"0,00","11,00","0,00","11,00",28,1475
27,Tor-Einar Fredriksen,"0,00","10,00","0,00","10,00",29,1475
31,Finn Johannessen,"0,00","10,00","0,00","10,00",30,1475
29,Andreas Buch,"0,00","7,00","0,00","7,00",31,1475
