Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Jens-Ingvald Olsen,"1 197,00","1 768,00","631,00","3 596,00",1,4788
2,Elin Jørgensen,"1 197,00","264,00","26,00","1 487,00",2,4788
3,Bendik Hugstmyr Woie,"1 197,00","181,00","41,00","1 419,00",3,4788
4,Maria Nilsen Aksberg,"1 197,00","181,00","6,00","1 384,00",4,4788
5,Bjørn Egil Johansen,"1 197,00","142,00","16,00","1 355,00",5,4788
6,Anne-Linn Lernes Høiseth,"1 197,00","156,00","2,00","1 355,00",6,4788
46,Mads Gilbert,"0,00","248,00","34,00","282,00",7,4788
8,Hanne Stenvaag,"0,00","143,00","27,00","170,00",8,4788
21,Ylva Helene Schwenke,"0,00","140,00","13,00","153,00",9,4788
14,Elisabet Sausjord,"0,00","109,00","7,00","116,00",10,4788
7,Frida Langseth,"0,00","93,00","5,00","98,00",11,4788
9,Sigurd Langseth,"0,00","67,00","8,00","75,00",12,4788
22,Eli Berg,"0,00","67,00","5,00","72,00",13,4788
32,Ragnar Olsen,"0,00","66,00","3,00","69,00",14,4788
13,Jon Arne Jørstad,"0,00","53,00","4,00","57,00",15,4788
24,Torill Nustad,"0,00","54,00","2,00","56,00",16,4788
10,Maria Evon Sriharan,"0,00","53,00","2,00","55,00",17,4788
17,Marius Bjørnson Graff,"0,00","48,00","7,00","55,00",18,4788
29,Anniken Dulin,"0,00","48,00","2,00","50,00",19,4788
12,Siri Andersen,"0,00","48,00","0,00","48,00",20,4788
42,Ragna Schwenke,"0,00","41,00","7,00","48,00",21,4788
18,Peder Joakimsen,"0,00","42,00","4,00","46,00",22,4788
25,Kristoffer Jørgensen,"0,00","40,00","2,00","42,00",23,4788
11,Bengt Appelbom,"0,00","34,00","4,00","38,00",24,4788
19,Erik Skare,"0,00","35,00","3,00","38,00",25,4788
26,Hawre Mohammed Ali,"0,00","36,00","1,00","37,00",26,4788
23,Erling Briskemyr,"0,00","32,00","2,00","34,00",27,4788
15,Trond Petter Hauan,"0,00","25,00","7,00","32,00",28,4788
35,Torunn Ovanger,"0,00","28,00","4,00","32,00",29,4788
20,Sylvin Thomassen,"0,00","30,00","0,00","30,00",30,4788
36,Eirik Mathiesen,"0,00","24,00","2,00","26,00",31,4788
27,Eva Rinnan Gran,"0,00","24,00","0,00","24,00",32,4788
30,Kari Torgersen,"0,00","23,00","1,00","24,00",33,4788
45,Einar Bohne,"0,00","19,00","2,00","21,00",34,4788
33,Vilde Holm,"0,00","18,00","2,00","20,00",35,4788
37,Kirsti Henriksen,"0,00","19,00","1,00","20,00",36,4788
44,Torgeir Engstad,"0,00","18,00","1,00","19,00",37,4788
34,Amadou Bamba,"0,00","17,00","1,00","18,00",38,4788
16,Roger Wangsbro,"0,00","16,00","1,00","17,00",39,4788
41,Halvor Langseth,"0,00","17,00","0,00","17,00",40,4788
40,Gro Morken Nilssen,"0,00","16,00","0,00","16,00",41,4788
43,Rønnaug Finnset,"0,00","15,00","0,00","15,00",42,4788
28,Jon Børge Hansen,"0,00","14,00","0,00","14,00",43,4788
31,Nora Lund,"0,00","11,00","1,00","12,00",44,4788
38,Sidsel Aarseth,"0,00","12,00","0,00","12,00",45,4788
39,Martin Brynjulfsen,"0,00","9,00","1,00","10,00",46,4788
