Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
2,Sandra Konstance Nygård Borch,"0,00","149,00","42,00","191,00",1,729
1,Marlene Berntsen Bråthen,"0,00","110,00","24,00","134,00",2,729
3,John Egil Ottosen,"0,00","38,00","7,00","45,00",3,729
4,Wenche Skallerud,"0,00","32,00","9,00","41,00",4,729
5,Bernt Halvor Bråthen,"0,00","18,00","17,00","35,00",5,729
8,Asgeir Slåttnes,"0,00","30,00","2,00","32,00",6,729
6,Geir Toften,"0,00","18,00","5,00","23,00",7,729
10,Kåre Skallerud,"0,00","15,00","1,00","16,00",8,729
9,Fredrik Hanssen,"0,00","9,00","3,00","12,00",9,729
14,Helge Nikolai Sandbakken,"0,00","10,00","2,00","12,00",10,729
7,Kathrine Strandli,"0,00","10,00","1,00","11,00",11,729
18,Ingjerd Nina Toften,"0,00","10,00","0,00","10,00",12,729
17,Sigurd Stormo,"0,00","6,00","2,00","8,00",13,729
12,Roy-Arne Myrvoll,"0,00","4,00","2,00","6,00",14,729
13,Siri Juli Robertsen,"0,00","5,00","0,00","5,00",15,729
15,Svein Olav Pettersen,"0,00","5,00","0,00","5,00",16,729
16,Joakim Molund,"0,00","4,00","1,00","5,00",17,729
11,Enid Johanne Bråthen,"0,00","3,00","0,00","3,00",18,729
