Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Ingrid Marie Kielland,"662,25","656,00","267,00","1 585,25",1,2649
2,Gunhild Glosemeyer Johansen,"662,25","173,00","61,00","896,25",2,2649
3,Pål Julius Austrem Skogholt,"662,25","182,00","49,00","893,25",3,2649
4,Benjamin Arvola Notkevich,"662,25","133,00","37,00","832,25",4,2649
8,Terje Håkstad,"0,00","124,00","38,00","162,00",5,2649
5,Åsne Øysteinsdotter Høgetveit,"0,00","110,00","23,00","133,00",6,2649
49,Torgeir Knag Fylkesnes,"0,00","62,00","10,00","72,00",7,2649
13,Cornelia Andreassen,"0,00","56,00","6,00","62,00",8,2649
7,Reidun Heggen,"0,00","53,00","8,00","61,00",9,2649
17,Ida Marie Løken Killie,"0,00","49,00","6,00","55,00",10,2649
9,Tonje Bjørndal Braaten,"0,00","45,00","4,00","49,00",11,2649
15,Ina Kongsnes,"0,00","45,00","4,00","49,00",12,2649
19,Bi Haavind,"0,00","37,00","8,00","45,00",13,2649
6,Bjarne Rohde,"0,00","36,00","8,00","44,00",14,2649
33,Ingrid Hovda Lien,"0,00","38,00","5,00","43,00",15,2649
31,Gerd Karin Bjørhovde,"0,00","36,00","5,00","41,00",16,2649
10,Uthayarajan Odén Singarajah,"0,00","32,00","7,00","39,00",17,2649
21,Julie Wilhelmsen,"0,00","34,00","3,00","37,00",18,2649
16,Anders Torgeir Lind,"0,00","24,00","10,00","34,00",19,2649
27,Trine Danielsen Kielland,"0,00","30,00","2,00","32,00",20,2649
39,Åshild Fause,"0,00","29,00","2,00","31,00",21,2649
12,Leif-Petter Hansen,"0,00","24,00","5,00","29,00",22,2649
28,Torstein Låg,"0,00","24,00","5,00","29,00",23,2649
24,Hallvard Tjelmeland,"0,00","25,00","3,00","28,00",24,2649
43,Maja-Lisa Løchen,"0,00","24,00","4,00","28,00",25,2649
11,Ellen Herland,"0,00","25,00","1,00","26,00",26,2649
29,Kristel Høie Nilsen,"0,00","23,00","2,00","25,00",27,2649
23,Elsa Hilda Sundsvold,"0,00","22,00","2,00","24,00",28,2649
25,Sølvi Edith Hagland Bangsund,"0,00","22,00","2,00","24,00",29,2649
46,Frode Haugstvedt Henriksen,"0,00","16,00","8,00","24,00",30,2649
14,Matias Hogne Kjerstad,"0,00","16,00","6,00","22,00",31,2649
32,Tony Paameyer Winkler,"0,00","17,00","4,00","21,00",32,2649
40,Marek Cuhra,"0,00","20,00","1,00","21,00",33,2649
18,Martin Sollund Krane,"0,00","19,00","1,00","20,00",34,2649
41,Randi Rønning Balsvik,"0,00","17,00","3,00","20,00",35,2649
22,Stein Valkoinen,"0,00","13,00","3,00","16,00",36,2649
38,Tor Halvard Stranda,"0,00","16,00","0,00","16,00",37,2649
45,Annikken Annexstad,"0,00","12,00","4,00","16,00",38,2649
48,May-Britt Ellingsen,"0,00","14,00","2,00","16,00",39,2649
35,Tone Bjørnsen,"0,00","12,00","0,00","12,00",40,2649
37,Rita-Kristin Hansen,"0,00","11,00","1,00","12,00",41,2649
34,Gry Gaard,"0,00","11,00","0,00","11,00",42,2649
20,Jørund Magnus Jørgensen,"0,00","10,00","0,00","10,00",43,2649
36,Paul Oddgeir Jensen,"0,00","5,00","3,00","8,00",44,2649
26,Gerardus Theodorus Maria Meijers,"0,00","7,00","0,00","7,00",45,2649
30,Odd Ingvar Almås,"0,00","3,00","2,00","5,00",46,2649
42,Johan Robertsen,"0,00","4,00","1,00","5,00",47,2649
44,Stein Inge Sivertsen,"0,00","4,00","1,00","5,00",48,2649
47,Petter Olai Stark,"0,00","4,00","1,00","5,00",49,2649
